Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.934575541783569,-11.434093003818843,4.831987708216161,-9.130156320278502,8.551765302306093 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.8754485234604,-11.435201630778538,4.780379329098594,-9.138319803374543,8.491922933350601 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.815818488970241,-11.43635108606384,4.728922099678243,-9.146985605107489,8.431133168090194 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.755922553369979,-11.437497442003517,4.6771229489222609,-9.155764327564839,8.369903414427034 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.697883905639868,-11.416175994472093,4.6194797186958,-9.187128886078654,8.308883401513937 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.639784654118984,-11.395959393141468,4.563681403198586,-9.21873846696667,8.248397291956183 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.582016848748778,-11.376775824792132,4.508322137558309,-9.249479301808606,8.1884129590765 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.524575258159057,-11.358563825934106,4.453468420992294,-9.279229196278039,8.12881124324869 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,7.466743894992525,-11.30802000935371,4.420183522059347,-9.224771973812154,8.069248031900156 
 01/01  07:30:00,-10.3,215.5879980222353,1.0,22.819555959623899,1.0,22.819555959623899,215.5879980222353,7.537640803697617,-9.633826006167864,4.668243844491315,-8.925406234784419,8.030294256673601 
 01/01  07:45:00,-10.15,1058.5392312119832,1.0,109.75755355442667,1.0,109.75755355442667,1058.5392312119832,7.964411461928563,-3.254818875381026,5.772063029144078,-7.941210148163577,8.07023401830956 
 01/01  08:00:00,-10.0,1924.8399544048012,1.0,195.8764694434918,1.0,195.8764694434918,1924.8399544048012,8.495400928573993,3.2106641460671736,7.005609822452243,-6.970006824217478,8.197162073149867 
 01/01  08:15:00,-9.725,2788.1568045040946,1.0,278.97248314719988,1.0,278.97248314719988,2788.1568045040946,8.993276666995657,8.397054500860339,8.297097003711997,-6.09918085881543,8.384851958251824 
 01/01  08:30:00,-9.45,3698.191694964431,1.0,364.91995730569456,1.0,364.91995730569456,3698.191694964431,9.481163886469283,13.467869194429654,9.618735250707573,-5.23364927732689,8.621673255829144 
 01/01  08:45:00,-9.175,4300.2673206835229,1.0,420.35879993239237,1.0,420.35879993239237,4300.2673206835229,9.836004345985155,16.22400959744791,10.508471735123294,-4.6837837611299168,8.886216853291599 
 01/01  09:00:00,-8.9,4925.271017558337,1.0,478.00138373643099,1.0,478.00138373643099,4925.271017558337,10.25055961053283,19.21763422217324,11.38593094342184,-4.1250971457319569,9.167351351327966 
 01/01  09:15:00,-8.350000000000002,5563.47927965646,1.0,536.9185644770597,1.0,536.9185644770597,5563.47927965646,10.616845159303326,20.330090496496426,12.305644935850524,-3.483528991624894,9.4654198136352 
 01/01  09:30:00,-7.800000000000001,6223.735720388039,1.0,598.0969199229219,1.0,598.0969199229219,6223.735720388039,11.016223095451837,21.57931648014244,13.243236611761916,-2.8398084378507066,9.60686982911493 
 01/01  09:45:00,-7.25,6656.871608685562,1.0,637.6133352894237,1.0,637.6133352894237,6656.871608685562,11.291382070222273,21.63424081300159,13.926005573132102,-2.3677397932038959,9.880378482085625 
 01/01  10:00:00,-6.7,7083.627635407371,1.0,676.6412284283772,1.0,676.6412284283772,7083.627635407371,11.558801661987724,21.790396109945598,14.545840601030705,-1.9003304787853495,10.083272411313173 
 01/01  10:15:00,-6.275,7502.619881932496,1.0,715.0112779846514,1.0,715.0112779846514,7502.619881932496,11.979040534012246,23.890178199532163,15.22219397489522,-1.2422077954917086,10.551233843238812 
 01/01  10:30:00,-5.85,7911.749570952164,1.0,752.5077794605232,1.0,752.5077794605232,7911.749570952164,12.452519935529569,25.82741301872915,15.955583103127424,-0.5963185962843909,10.988345265460686 
 01/01  10:45:00,-5.425,7790.156876744835,1.0,742.5988714321785,1.0,742.5988714321785,7790.156876744835,12.744416372258679,25.67932539108545,16.22237417776239,-0.2725205545935978,11.395055412087999 
 01/01  11:00:00,-5.0,7616.415097398768,1.0,727.8169025450712,1.0,727.8169025450712,7616.415097398768,13.02243451573314,25.451273814031255,16.390902109699029,0.02500524140680227,11.755227254497087 
 01/01  11:15:00,-4.575,7317.63187899619,1.0,700.3759009170325,1.0,700.3759009170325,7317.63187899619,13.22271431519765,24.709454700817174,16.418225377316504,0.28118473916640598,12.065084178544618 
 01/01  11:30:00,-4.15,7096.045470548525,1.0,681.6705029034473,1.0,681.6705029034473,7096.045470548525,13.443095695624708,24.379882106498888,16.503934544716686,0.5961471729244749,12.337315829761513 
 01/01  11:45:00,-3.7249999999999998,6229.736928425406,1.0,602.01865277251,1.0,602.01865277251,6229.736928425406,13.357323887624446,21.351161265084256,15.94811539770194,0.5137581915911369,12.547449855529785 
 01/01  12:00:00,-3.3,5087.904404183855,1.0,493.55004396206007,1.0,493.55004396206007,5087.904404183855,13.161970260288064,17.174227485507939,14.9625923803805,0.22292791305596894,12.662954060341712 
 01/01  12:15:00,-3.0249999999999996,4201.063393949559,1.0,412.335026418112,1.0,412.335026418112,4201.063393949559,13.02712388894478,14.33136872011012,14.166006878652752,0.044269759404187428,12.70223380634316 
 01/01  12:30:00,-2.75,3076.892122430221,1.0,305.94037763660148,1.0,305.94037763660148,3076.892122430221,12.689826539565904,10.159015970310206,13.029023869745516,-0.3291225559929103,12.676419527899207 
 01/01  12:45:00,-2.475,2809.0935899127655,1.0,281.0763483922329,1.0,281.0763483922329,2809.0935899127655,12.658406398986064,9.646745120918866,12.715764372717445,-0.16695599307053045,12.630133290574508 
 01/01  13:00:00,-2.2,2546.8736709552365,1.0,256.7721209415886,1.0,256.7721209415886,2546.8736709552365,12.619300828554245,9.041642946101574,12.500693363220762,0.02019577186507604,12.59084276743556 
 01/01  13:15:00,-1.9250000000000003,2080.536760270814,1.0,210.73276284570657,1.0,210.73276284570657,2080.536760270814,12.4505011340808,7.494497169993091,12.009496863480195,0.01775637795304874,12.554749456499235 
 01/01  13:30:00,-1.6500000000000002,1848.1882299855229,1.0,189.38488290342594,1.0,189.38488290342594,1848.1882299855229,12.417138208712501,7.096095557417203,11.776943686007144,0.18157004008128298,12.520336592774159 
 01/01  13:45:00,-1.375,1762.648528253172,1.0,179.3940297802914,1.0,179.3940297802914,1762.648528253172,12.400452390973865,7.220160621022919,11.72139058047361,0.4337827519368602,12.48948549695726 
 01/01  14:00:00,-1.1,1676.1315823352277,1.0,169.43349014176136,1.0,169.43349014176136,1676.1315823352277,12.379579820415076,7.321549664712868,11.65673635979897,0.6850995622775145,12.462024640674422 
 01/01  14:15:00,-1.1,1764.2336451764168,1.0,178.15692317953907,1.0,178.15692317953907,1764.2336451764168,12.44304819177605,8.1407091498699,11.760584166657168,0.806288657776804,12.442621191190624 
 01/01  14:30:00,-1.1,1657.44905719483,1.0,166.40516310952945,1.0,166.40516310952945,1657.44905719483,12.380423039860802,7.777125593041537,11.643066208343044,0.7691514692027113,12.42578793485873 
 01/01  14:45:00,-1.1,1397.5312645024297,1.0,140.8967369711617,1.0,140.8967369711617,1397.5312645024297,12.25311845023625,6.576094276409082,11.311434135372338,0.5964472953664881,12.398229858017704 
 01/01  15:00:00,-1.1,1150.0543343484979,1.0,116.57355796743004,1.0,116.57355796743004,1150.0543343484979,12.135672234465181,5.373763506274162,10.976554756705412,0.4151178877076518,12.348768468098556 
 01/01  15:15:00,-1.1,912.7487358563033,1.0,93.14939272689483,1.0,93.14939272689483,912.7487358563033,12.015109463212033,4.327001771371899,10.672323523421028,0.3190493907867449,12.279166790453207 
 01/01  15:30:00,-1.1,566.636069103818,1.0,57.94047897402063,1.0,57.94047897402063,566.636069103818,11.799086727816917,2.209820792264461,10.210057525359219,0.09799082768120116,12.183788979797022 
 01/01  15:45:00,-1.1,439.3280485110057,1.0,45.38251793443488,1.0,45.38251793443488,439.3280485110057,11.709591638434182,1.6070784927488886,9.988416989481039,0.08640523299737879,12.077962952864182 
 01/01  16:00:00,-1.1,306.6800834820858,1.0,32.02625108222755,1.0,32.02625108222755,306.6800834820858,11.580137792898008,0.7531843121776543,9.79008629362636,0.07583501204436516,11.974652722056828 
 01/01  16:15:00,-1.1,168.21359625367695,1.0,17.762198626050539,1.0,17.762198626050539,168.21359625367695,11.427188988345183,-0.4854383791025652,9.54405403185109,-0.04491370997681088,11.871774082820508 
 01/01  16:30:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,11.223772571912616,-2.3166199144814314,9.224810102247887,-0.28808865478089276,11.755555824166962 
 01/01  16:45:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,11.15694033555196,-2.4463860043640355,9.126040364062192,-0.250487440537313,11.64209125819107 
 01/01  17:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,11.073718362386826,-2.6268070998499115,9.072604757794466,-0.20009976601261315,11.546139334043698 
 01/01  17:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,11.002157936888086,-2.776008559451243,8.976344291472686,-0.3483599844640821,11.467970882546594 
 01/01  17:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,10.936531762860615,-2.928490852441735,8.896798904056084,-0.4799918423902909,11.401555840847545 
 01/01  17:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,10.875172096660961,-3.0806720932469604,8.819370037171268,-0.615825471990604,11.341134975896564 
 01/01  18:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,10.815738255469853,-3.2330190118090416,8.744912977086699,-0.750948400772927,11.283318451772957 
 01/01  18:15:00,-1.825,0.0,0.0,0.0,0.0,0.0,0.0,10.77821717220791,-3.1019548200597568,8.655634076616594,-0.9468269343221891,11.229893934507432 
 01/01  18:30:00,-1.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,10.741241645379102,-3.050144606477156,8.581782790300395,-1.1257517417047894,11.1828262241037 
 01/01  18:45:00,-2.075,0.0,0.0,0.0,0.0,0.0,0.0,10.698529640078814,-3.1280789703032996,8.52485711018278,-1.253251636123423,11.140645647797829 
 01/01  19:00:00,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,10.65943504464456,-3.1189163658589198,8.455628027971102,-1.4219899517489694,11.100292199843912 
 01/01  19:15:00,-1.9250000000000003,0.0,0.0,0.0,0.0,0.0,0.0,10.63662033825836,-2.8209692493611748,8.473793065591054,-1.215422732512991,11.062521586422342 
 01/01  19:30:00,-1.6500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,10.613156023173389,-2.5257477787052555,8.49122073146998,-0.9984039368092681,11.02792536114006 
 01/01  19:45:00,-1.375,0.0,0.0,0.0,0.0,0.0,0.0,10.591587381096734,-2.2316186917741755,8.50990427941872,-0.7792656180688482,10.996060466224686 
